※データは速報値であり、推計値などが含まれます,,,,,,,,,,,,,
※データは過去にさかのぼり修正する場合があります,,,,,,,,,,,,,
※四捨五入の関係で合計が合わないことがあります,,,,,,,,,,,,,
※例えば、0:00の実績値は、0時00分から1時00分までの1時間平均値を示します,,,,,,,,,,,,,
,,エリア需要,原子力,火力,水力,地熱,バイオマス,太陽光実績,太陽光抑制量,風力実績,風力抑制量,揚水,連系線
DATE,TIME,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
2024/2/1,0:00,3145,0,1788,801,,28,0,0,12,0,0,516
2024/2/1,1:00,3240,0,1747,721,,29,0,0,12,0,0,732
2024/2/1,2:00,3425,0,1889,747,,36,0,0,10,0,0,745
2024/2/1,3:00,3568,0,2003,847,,49,0,0,11,0,0,659
2024/2/1,4:00,3589,0,2014,810,,53,0,0,11,0,0,701
2024/2/1,5:00,3569,0,1973,804,,53,0,0,11,0,0,729
2024/2/1,6:00,3572,0,2002,789,,57,0,0,12,0,0,712
2024/2/1,7:00,3592,0,2250,790,,59,20,0,11,0,0,463
2024/2/1,8:00,3856,0,2452,816,,59,70,0,19,0,0,441
2024/2/1,9:00,4071,0,2514,726,,60,85,0,32,0,0,654
2024/2/1,10:00,4086,0,2553,717,,60,62,0,39,0,0,655
2024/2/1,11:00,4123,0,2357,763,,60,57,0,47,0,0,839
2024/2/1,12:00,3998,0,2257,731,,60,88,0,48,0,0,814
2024/2/1,13:00,4177,0,2335,759,,59,97,0,47,0,0,881
2024/2/1,14:00,4255,0,2288,754,,60,75,0,45,0,0,1034
2024/2/1,15:00,4275,0,2458,767,,59,53,0,42,0,1,895
2024/2/1,16:00,4370,0,2547,843,,59,21,0,38,0,50,813
2024/2/1,17:00,4391,0,2552,833,,61,1,0,32,0,50,864
2024/2/1,18:00,4343,0,2496,902,,59,0,0,20,0,50,816
2024/2/1,19:00,4170,0,2428,873,,61,0,0,15,0,98,696
2024/2/1,20:00,4029,0,2360,807,,60,0,0,9,0,99,695
2024/2/1,21:00,3854,0,2154,786,,61,0,0,10,0,51,793
2024/2/1,22:00,3749,0,2250,743,,61,0,0,6,0,51,640
2024/2/1,23:00,3710,0,2281,707,,60,0,0,4,0,50,609
2024/2/2,0:00,3619,0,2081,692,,61,0,0,4,0,0,782
2024/2/2,1:00,3685,0,2136,773,,61,0,0,4,0,0,711
2024/2/2,2:00,3839,0,2379,796,,60,0,0,4,0,0,601
2024/2/2,3:00,3894,0,2450,799,,61,0,0,6,0,0,580
2024/2/2,4:00,3860,0,2349,772,,61,0,0,5,0,0,674
2024/2/2,5:00,3849,0,2295,816,,59,0,0,5,0,0,675
2024/2/2,6:00,3971,0,2321,837,,61,0,0,6,0,0,747
2024/2/2,7:00,4072,0,2480,816,,60,24,0,4,0,0,688
2024/2/2,8:00,4349,0,2504,831,,60,93,0,2,0,0,860
2024/2/2,9:00,4521,0,2550,888,,59,143,0,1,0,0,881
2024/2/2,10:00,4463,0,2590,788,,61,211,0,2,0,0,813
2024/2/2,11:00,4391,0,2276,724,,60,267,0,0,0,0,1065
2024/2/2,12:00,4145,0,2040,685,,60,268,0,1,0,0,1093
2024/2/2,13:00,4206,0,2193,717,,59,291,0,2,0,0,945
2024/2/2,14:00,4166,0,2155,681,,61,328,0,1,0,0,941
2024/2/2,15:00,4090,0,2437,780,,59,171,0,1,0,0,642
2024/2/2,16:00,4111,0,2534,788,,61,47,0,1,0,3,680
2024/2/2,17:00,4111,0,2572,787,,60,2,0,1,0,98,591
2024/2/2,18:00,4087,0,2548,785,,61,0,0,2,0,98,594
2024/2/2,19:00,3968,0,2269,760,,60,0,0,1,0,99,780
2024/2/2,20:00,3846,0,2129,747,,61,0,0,1,0,99,809
2024/2/2,21:00,3706,0,2064,764,,60,0,0,3,0,50,767
2024/2/2,22:00,3635,0,2073,746,,60,0,0,3,0,6,748
2024/2/2,23:00,3594,0,2053,725,,61,0,0,3,0,0,754
2024/2/3,0:00,3483,0,1904,703,,60,0,0,4,0,0,813
2024/2/3,1:00,3537,0,2054,670,,61,0,0,3,0,0,749
2024/2/3,2:00,3658,0,2145,691,,60,0,0,5,0,0,758
2024/2/3,3:00,3711,0,2140,761,,61,0,0,8,0,0,743
2024/2/3,4:00,3630,0,2078,620,,61,0,0,8,0,0,865
2024/2/3,5:00,3521,0,2076,564,,60,0,0,7,0,0,815
2024/2/3,6:00,3434,0,2098,544,,61,0,0,9,0,0,723
2024/2/3,7:00,3422,0,2005,585,,60,34,0,10,0,0,730
2024/2/3,8:00,3497,0,1858,643,,60,169,0,7,0,0,761
2024/2/3,9:00,3497,0,1676,649,,59,396,0,4,0,0,713
2024/2/3,10:00,3376,0,1824,545,,61,692,0,7,0,0,249
2024/2/3,11:00,3203,0,1766,581,,59,780,0,12,0,0,5
2024/2/3,12:00,3053,0,1711,658,,60,768,0,12,0,0,-156
2024/2/3,13:00,3061,0,1712,763,,59,714,0,14,0,0,-201
2024/2/3,14:00,3030,0,1906,481,,60,472,0,18,0,0,93
2024/2/3,15:00,3043,0,1997,506,,59,264,0,14,0,0,204
2024/2/3,16:00,3156,0,1975,682,,61,74,0,12,0,3,352
2024/2/3,17:00,3320,0,2012,821,,60,2,0,11,0,98,317
2024/2/3,18:00,3384,0,2035,878,,61,0,0,16,0,98,297
2024/2/3,19:00,3337,0,2034,867,,59,0,0,12,0,98,267
2024/2/3,20:00,3277,0,2039,723,,61,0,0,15,0,98,343
2024/2/3,21:00,3170,0,2044,548,,60,0,0,7,0,9,502
2024/2/3,22:00,3106,0,2054,556,,61,0,0,5,0,0,432
2024/2/3,23:00,3088,0,2020,503,,59,0,0,4,0,0,503
2024/2/4,0:00,3009,0,1882,443,,61,0,0,5,0,0,619
2024/2/4,1:00,3076,0,1903,531,,61,0,0,5,0,0,577
2024/2/4,2:00,3234,0,1935,649,,59,0,0,7,0,0,585
2024/2/4,3:00,3329,0,1944,726,,61,0,0,9,0,0,590
2024/2/4,4:00,3281,0,1940,711,,61,0,0,9,0,0,561
2024/2/4,5:00,3156,0,1899,635,,60,0,0,9,0,0,554
2024/2/4,6:00,3019,0,1741,600,,61,0,0,11,0,0,607
2024/2/4,7:00,2987,0,1767,520,,60,30,0,12,0,0,598
2024/2/4,8:00,3017,0,1775,463,,61,126,0,12,0,0,581
2024/2/4,9:00,3065,0,1829,445,,60,254,0,12,0,0,465
2024/2/4,10:00,3019,0,1804,453,,60,404,0,24,0,0,275
2024/2/4,11:00,2985,0,1788,486,,61,524,0,28,0,0,99
2024/2/4,12:00,2887,0,1661,479,,61,564,0,28,0,0,96
2024/2/4,13:00,2848,0,1760,476,,60,605,0,24,0,0,-76
2024/2/4,14:00,2766,0,1834,445,,60,558,0,20,0,0,-150
2024/2/4,15:00,2729,0,1731,434,,61,361,0,17,0,0,125
2024/2/4,16:00,2844,0,1936,498,,61,110,0,24,0,0,216
2024/2/4,17:00,3125,0,1934,681,,60,6,0,20,0,3,424
2024/2/4,18:00,3270,0,1842,730,,61,0,0,16,0,98,524
2024/2/4,19:00,3262,0,1843,742,,60,0,0,12,0,97,509
2024/2/4,20:00,3224,0,1903,751,,61,0,0,17,0,4,489
2024/2/4,21:00,3117,0,1867,639,,60,0,0,23,0,0,529
2024/2/4,22:00,3026,0,1890,534,,61,0,0,18,0,0,524
2024/2/4,23:00,3035,0,1948,460,,61,0,0,21,0,0,547
2024/2/5,0:00,2999,0,1918,455,,61,0,0,21,0,0,545
2024/2/5,1:00,3093,0,1860,574,,60,0,0,19,0,0,581
2024/2/5,2:00,3273,0,1942,609,,61,0,0,20,0,0,642
2024/2/5,3:00,3373,0,2039,605,,61,0,0,28,0,0,641
2024/2/5,4:00,3365,0,1955,658,,60,0,0,26,0,0,667
2024/2/5,5:00,3367,0,1907,722,,61,0,0,22,0,0,656
2024/2/5,6:00,3503,0,2183,744,,61,0,0,18,0,0,498
2024/2/5,7:00,3687,0,2438,802,,61,6,0,8,0,3,371
2024/2/5,8:00,4075,0,2517,773,,60,34,0,9,0,98,585
2024/2/5,9:00,4315,0,2529,805,,60,52,0,12,0,0,857
2024/2/5,10:00,4326,0,2598,779,,60,39,0,12,0,0,839
2024/2/5,11:00,4351,0,2397,746,,60,57,0,19,0,0,1073
2024/2/5,12:00,4251,0,2354,701,,59,65,0,21,0,1,1051
2024/2/5,13:00,4475,0,2461,718,,60,29,0,43,0,50,1114
2024/2/5,14:00,4642,0,2672,662,,59,12,0,44,0,50,1144
2024/2/5,15:00,4690,0,2730,657,,60,6,0,39,0,50,1149
2024/2/5,16:00,4784,0,2726,747,,60,2,0,33,0,50,1167
2024/2/5,17:00,4730,0,2704,758,,59,0,0,32,0,50,1127
2024/2/5,18:00,4652,0,2612,777,,60,0,0,36,0,50,1119
2024/2/5,19:00,4454,0,2605,743,,61,0,0,39,0,50,957
2024/2/5,20:00,4255,0,2476,762,,59,0,0,32,0,3,924
2024/2/5,21:00,4085,0,2320,754,,61,0,0,24,0,0,928
2024/2/5,22:00,3916,0,2240,833,,61,0,0,22,0,0,761
2024/2/5,23:00,3863,0,2222,846,,60,0,0,24,0,0,713
2024/2/6,0:00,3732,0,2266,524,,61,0,0,12,0,0,871
2024/2/6,1:00,3794,0,2275,587,,61,0,0,9,0,0,863
2024/2/6,2:00,3904,0,2294,640,,61,0,0,8,0,0,901
2024/2/6,3:00,3994,0,2363,715,,60,0,0,5,0,0,852
2024/2/6,4:00,3971,0,2363,646,,61,0,0,4,0,0,899
2024/2/6,5:00,3992,0,2388,667,,61,0,0,5,0,0,871
2024/2/6,6:00,4090,0,2504,705,,61,0,0,6,0,0,816
2024/2/6,7:00,4178,0,2642,678,,61,17,0,3,0,3,774
2024/2/6,8:00,4402,0,2675,739,,60,96,0,3,0,96,735
2024/2/6,9:00,4565,0,2656,627,,60,211,0,0,0,0,1011
2024/2/6,10:00,4508,0,2544,636,,61,270,0,1,0,0,998
2024/2/6,11:00,4399,0,2228,723,,60,304,0,1,0,0,1085
2024/2/6,12:00,4149,0,2024,706,,59,427,0,2,0,0,932
2024/2/6,13:00,4170,0,2128,726,,59,412,0,1,0,0,844
2024/2/6,14:00,4094,0,2002,766,,61,410,0,0,0,0,856
2024/2/6,15:00,4019,0,2151,840,,59,249,0,1,0,0,719
2024/2/6,16:00,4053,0,2483,764,,60,77,0,1,0,51,617
2024/2/6,17:00,4067,0,2513,731,,61,4,0,0,0,97,663
2024/2/6,18:00,4099,0,2541,810,,60,0,0,1,0,96,591
2024/2/6,19:00,3985,0,2535,819,,61,0,0,0,0,96,475
2024/2/6,20:00,3888,0,2494,798,,61,0,0,2,0,15,519
2024/2/6,21:00,3742,0,2263,711,,60,0,0,3,0,0,707
2024/2/6,22:00,3682,0,2223,680,,60,0,0,2,0,0,718
2024/2/6,23:00,3650,0,2179,714,,60,0,0,1,0,0,697
2024/2/7,0:00,3553,0,2144,695,,61,0,0,2,0,0,652
2024/2/7,1:00,3618,0,2113,711,,61,0,0,4,0,0,730
2024/2/7,2:00,3802,0,2175,756,,60,0,0,1,0,0,811
2024/2/7,3:00,3869,0,2174,772,,61,0,0,3,0,0,860
2024/2/7,4:00,3860,0,2161,791,,61,0,0,4,0,0,844
2024/2/7,5:00,3856,0,2182,807,,60,0,0,4,0,0,803
2024/2/7,6:00,4002,0,2362,863,,60,0,0,5,0,0,712
2024/2/7,7:00,4024,0,2612,807,,61,39,0,5,0,0,503
2024/2/7,8:00,4238,0,2504,716,,60,221,0,6,0,0,732
2024/2/7,9:00,4312,0,2382,663,,59,356,0,4,0,0,849
2024/2/7,10:00,4281,0,2381,731,,61,416,0,5,0,0,687
2024/2/7,11:00,4158,0,1970,618,,59,566,0,6,0,0,939
2024/2/7,12:00,3914,0,1945,582,,60,520,0,10,0,0,797
2024/2/7,13:00,3972,0,2107,538,,59,471,0,3,0,0,794
2024/2/7,14:00,3892,0,2114,515,,60,369,0,11,0,0,823
2024/2/7,15:00,3966,0,2253,667,,59,216,0,5,0,0,767
2024/2/7,16:00,4030,0,2424,775,,61,65,0,9,0,3,695
2024/2/7,17:00,4047,0,2514,808,,60,4,0,6,0,96,561
2024/2/7,18:00,4078,0,2505,868,,59,0,0,9,0,96,542
2024/2/7,19:00,3978,0,2494,846,,61,0,0,13,0,96,470
2024/2/7,20:00,3862,0,2517,816,,59,0,0,6,0,95,368
2024/2/7,21:00,3731,0,2287,783,,60,0,0,4,0,67,531
2024/2/7,22:00,3647,0,2198,783,,60,0,0,5,0,0,601
2024/2/7,23:00,3575,0,2107,723,,60,0,0,4,0,0,682
2024/2/8,0:00,3481,0,2123,630,,61,0,0,4,0,0,665
2024/2/8,1:00,3544,0,2182,652,,61,0,0,5,0,0,646
2024/2/8,2:00,3694,0,2219,705,,61,0,0,7,0,0,703
2024/2/8,3:00,3797,0,2245,764,,61,0,0,8,0,0,721
2024/2/8,4:00,3783,0,2280,741,,61,0,0,7,0,0,695
2024/2/8,5:00,3798,0,2271,749,,60,0,0,5,0,0,714
2024/2/8,6:00,3892,0,2290,893,,61,0,0,4,0,0,645
2024/2/8,7:00,3963,0,2286,980,,59,26,0,4,0,0,609
2024/2/8,8:00,4178,0,2491,842,,61,102,0,3,0,0,680
2024/2/8,9:00,4332,0,2529,699,,59,200,0,3,0,0,843
2024/2/8,10:00,4265,0,2321,684,,60,253,0,4,0,0,943
2024/2/8,11:00,4202,0,2192,680,,59,234,0,5,0,0,1034
